Date,transactionfees30emaUSD
2016/01/01,0.003
2016/01/02,0.003
2016/01/03,0.002
2016/01/04,0.002
2016/01/05,0.003
2016/01/06,0.003
2016/01/07,0.003
2016/01/08,0.003
2016/01/09,0.003
2016/01/10,0.003
2016/01/11,0.003
2016/01/12,0.003
2016/01/13,0.003
2016/01/14,0.003
2016/01/15,0.003
2016/01/16,0.003
2016/01/17,0.003
2016/01/18,0.003
2016/01/19,0.003
2016/01/20,0.003
2016/01/21,0.003
2016/01/22,0.003
2016/01/23,0.003
2016/01/24,0.003
2016/01/25,0.003
2016/01/26,0.003
2016/01/27,0.004
2016/01/28,0.004
2016/01/29,0.004
2016/01/30,0.004
2016/01/31,0.004
2016/02/01,0.004
2016/02/02,0.004
2016/02/03,0.004
2016/02/04,0.004
2016/02/05,0.004
2016/02/06,0.005
2016/02/07,0.006
2016/02/08,0.006
2016/02/09,0.006
2016/02/10,0.007
2016/02/11,0.007
2016/02/12,0.007
2016/02/13,0.007
2016/02/14,0.007
2016/02/15,0.008
2016/02/16,0.008
2016/02/17,0.008
2016/02/18,0.008
2016/02/19,0.008
2016/02/20,0.008
2016/02/21,0.008
2016/02/22,0.008
2016/02/23,0.009
2016/02/24,0.01
2016/02/25,0.01
2016/02/26,0.01
2016/02/27,0.01
2016/02/28,0.01
2016/02/29,0.01
2016/03/01,0.01
2016/03/02,0.01
2016/03/03,0.01
2016/03/04,0.011
2016/03/05,0.011
2016/03/06,0.011
2016/03/07,0.011
2016/03/08,0.011
2016/03/09,0.011
2016/03/10,0.011
2016/03/11,0.011
2016/03/12,0.011
2016/03/13,0.011
2016/03/14,0.011
2016/03/15,0.011
2016/03/16,0.011
2016/03/17,0.011
2016/03/18,0.011
2016/03/19,0.011
2016/03/20,0.011
2016/03/21,0.011
2016/03/22,0.011
2016/03/23,0.011
2016/03/24,0.011
2016/03/25,0.011
2016/03/26,0.011
2016/03/27,0.011
2016/03/28,0.011
2016/03/29,0.011
2016/03/30,0.011
2016/03/31,0.011
2016/04/01,0.01
2016/04/02,0.01
2016/04/03,0.01
2016/04/04,0.01
2016/04/05,0.01
2016/04/06,0.01
2016/04/07,0.009
2016/04/08,0.009
2016/04/09,0.009
2016/04/10,0.009
2016/04/11,0.009
2016/04/12,0.008
2016/04/13,0.008
2016/04/14,0.008
2016/04/15,0.008
2016/04/16,0.008
2016/04/17,0.008
2016/04/18,0.008
2016/04/19,0.008
2016/04/20,0.007
2016/04/21,0.007
2016/04/22,0.007
2016/04/23,0.007
2016/04/24,0.007
2016/04/25,0.007
2016/04/26,0.007
2016/04/27,0.007
2016/04/28,0.006
2016/04/29,0.006
2016/04/30,0.006
2016/05/01,0.006
2016/05/02,0.006
2016/05/03,0.006
2016/05/04,0.007
2016/05/05,0.007
2016/05/06,0.007
2016/05/07,0.007
2016/05/08,0.007
2016/05/09,0.007
2016/05/10,0.007
2016/05/11,0.007
2016/05/12,0.007
2016/05/13,0.007
2016/05/14,0.007
2016/05/15,0.007
2016/05/16,0.007
2016/05/17,0.007
2016/05/18,0.007
2016/05/19,0.008
2016/05/20,0.008
2016/05/21,0.008
2016/05/22,0.008
2016/05/23,0.008
2016/05/24,0.008
2016/05/25,0.008
2016/05/26,0.008
2016/05/27,0.008
2016/05/28,0.009
2016/05/29,0.009
2016/05/30,0.009
2016/05/31,0.009
2016/06/01,0.009
2016/06/02,0.009
2016/06/03,0.009
2016/06/04,0.009
2016/06/05,0.009
2016/06/06,0.009
2016/06/07,0.01
2016/06/08,0.01
2016/06/09,0.01
2016/06/10,0.01
2016/06/11,0.01
2016/06/12,0.01
2016/06/13,0.01
2016/06/14,0.01
2016/06/15,0.01
2016/06/16,0.011
2016/06/17,0.014
2016/06/18,0.017
2016/06/19,0.017
2016/06/20,0.016
2016/06/21,0.017
2016/06/22,0.016
2016/06/23,0.016
2016/06/24,0.016
2016/06/25,0.015
2016/06/26,0.015
2016/06/27,0.015
2016/06/28,0.014
2016/06/29,0.014
2016/06/30,0.015
2016/07/01,0.014
2016/07/02,0.014
2016/07/03,0.014
2016/07/04,0.013
2016/07/05,0.013
2016/07/06,0.013
2016/07/07,0.012
2016/07/08,0.012
2016/07/09,0.012
